IT Technical Support Officer,BBE
Aerospace Engineering and Operations Technician,"ELA, ELE"
Aerospace Engineer,"ELA, ELE"
Agricultural Engineer,AGE
Architect,"ARA,ARC"
Architectural and Civil Drafter,"ARA,ARC, CIV, CIA"
Architectural Drafters,"ARA,ARC"
Automotive Engineering Technicians,"ELE,ELA,MEA,MEC"
Automotive Engineers,"MEA,MEC"
Biochemical Engineers,BBT
Biomedical Engineers,"BBI,BSB"
Cartographers and Photogrammetrists,"SQA,SQS,LSE,LSG"
Chemical Engineers,BIC
Civil Drafters,"CIV,CIA"
Civil Engineering Technicians,"CIV,CIA"
Civil Engineers,"CIV,CIA"
Computer Hardware Engineers,CMP
Electrical and Electronic Engineering Technicians,"ELE, ELA"
Electrical and Electronics Drafters,"ELE, ELA"
Electrical Drafters,"ELE, ELA"
Electrical Engineering Technicians,"ELE, ELA"
Energy Engineers,"MEA,MEC"
Fuel Cell Engineers,"MEA,MEC"
Geodetic Surveyors,"CIV, CIA"
Human Factors Engineers and Ergonomists,BOP
Landscape Architects,"ARC, ARA"
Journalist,"BJC, BJE"
Content Marketer,"BJC, BJE"
Copy Writer,"BJC, BJE"
Corporate Communication Specialist,"BJC, BJE"
Editor,"BJC, BJE"
Grant Writer,"BJC, BJE"
Public Relations Specialist,"BJC, BJE"
Reporter,"BJC, BJE"
Social Media Specialist,"BJC, BJE"
Technical Writer,"BJC, BJE"
Mechanical Engineering Technicians,"MEA,MEC"
Mechanical Engineering Technologists,"MEA,MEC"
Mechanical Engineers,"MEA,MEC"
Mechatronics Engineers,"MEA,MEC,ELE,ELA"
Robotics Engineers,"MEA,MEC,ELE,ELA"
"Mining and Geological Engineers, Including Mining Safety Engineers",BPG
Petroleum Engineers,BPG
Senior Chemist,BIC
QA Technologist,BIC
Development Chemist,BIC
Dvelopment Technician,BIC
Organic Synthentic Chemist,BIC
Application Development Chemist,BIC
Formulation Chemist,BIC
Stability Chemist,BIC
Robotics Technicians,"MEA,MEC,ELE,ELA"
Solar Energy Systems Engineers,"ELE,ELA"
Surveying and Mapping Technicians,"SQA,SQS,LSE,LSG"
Surveying Technicians,"SQA,SQS,LSE,LSG"
Surveyors,"SQA,SQS,LSE,LSG"
Validation Engineers,"ELE,ELA,MEC,MEA"
Water/Wastewater Engineers,"MEC,MEA,CIV"
Wind Energy Engineers,"MEC,MEA"
"Administrative Law Judges, Adjudicators, and Hearing Officers","LAE,LAW"
"Judges, Magistrate Judges, and Magistrates","LAE,LAW"
Judicial Law Clerks,"LAE,LAW"
Lawyers,"LAE,LAW"
Actuaries,SAS
Biostatisticians,"STA,BPS"
Business Intelligence Analysts,"STA, CSC,CSE,BUS,ECE,ECJ,ECO,BJB,BBJ"
Computer and Information Research Scientists,"CSC,BSI,BSJ"
Computer Network Architects,"CSC, BSW"
Computer Network Support Specialists,"CSC, BSW"
Computer Programmers,"CSC,BSW,CME"
Computer Systems Analysts,"CSC,BSW,BSI,BSJ"
Computer Systems Engineers/Architects,"CSC,BSW,BSI,BSJ"
Data Warehousing Specialists,"CSC,BSW,BSI,BSJ"
Database Administrators,"CSC,BSW,BSI,BSJ"
Database Architects,"CSC,BSW,BSI,BSJ"
Information Security Analysts,"BSI,BSJ,CSC,BSW"
Information Technology Project Managers,"BSJ,BSI"
Mathematicians,CSC
Network and Computer Systems Administrators,"CSC,BSW"
Software Developers,"CSC,BSW"
Software Quality Assurance Engineers and Testers,"CSC,BSW"
Statisticians,"STA,BBS,BUS"
Telecommunications Engineering Specialists,"STE,STM"
Web Administrators,"CSC,BSW,BSI,BSJ"
Web Developers,"CSC,BSW,BSI,BSJ"
Dental Assistants,"BDS,BDT"
Endoscopy Technicians,CLI
"Healthcare Support Workers, All Other",CLI
Home Health Aides,CLI
Massage Therapists,CLI
Medical Assistants,"CLI,MAM"
Medical Equipment Preparers,CLI
Medical Transcriptionists,CLI
Nursing Assistants,NUR
Pharmacy Aides,PAM
Doctors,MAM
Psychiatric Aides,MAM
Speech-Language Pathology Assistants,BSL
Veterinary Assistants and Laboratory Animal Caretakers,"VET,WHM"
Accountant,"COE,COM,ASA,CEO"
Financial Advisor,"ADJ,ADM,ACC,BSF"
 Sales Manager,"ADJ,ADM,ACC,CEO"
Business Manager,"ADJ,ADM,ACC"
Appraisers and Assessors of Real Estate,"CSC,BSA,BQE,BMM,BML,BMA,BEC"
Assessors,"BSA,BQE,BMM,BML,BMA,BEC"
Auditors,"ASA,COM,COE"
Budget Analysts,"BEC,BQE,BSF,DEC,DEE,DEJ,ECJ,ECO,ECE"
Business Continuity Planners,"ADJ,ADM,ACC,CEO"
Business Operations Specialists,"ADJ,ADM,ACC,CEO"
Buyers and Purchasing Agent,"BEC,ECJ,ECO,ECE,ADJ,ADM,ACC,CEO,PML,PMM,PSC,PSM"
"Claims Adjusters, Examiners, and Investigators","ADJ,ADM,ACC,CEO"
"Claims Examiners, Property and Casualty Insurance","ADJ,ADM,ACC,CEO"
"Compensation, Benefits, and Job Analysis Specialists","BEC,BQE,BSF,DEC,DEE,DEJ,ECJ,ECO,ECE"
Coroners,"MAM,BYT"
Cost Estimators,"STA,SCA,SCM,SQA"
Credit Analysts,"ADJ,ADM,ACC,BSF"
Credit Counselors,"ADJ,ADM,ACC,BSF"
Customs Brokers,"ADJ,ADM,ACC,BSF"
Arbitrator,"HML, HNM, LAW"
Human Resource Manager,"HML, HNM, HSJ, HSO"
Office Manager,"HML, HNM, HSJ, HSO"
Occupational Psychologist,"HML, HNM, HSJ, HSO"
Training Development Officer,"HML, HNM, HSJ, HSO"
Careers Advisor,"HML, HNM, HSJ, HSO"
Recruitment Consultant,"HML, HNM, HSJ, HSO"
